rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license
4.5,no,aldfly,1 (mono),2013-06-23,Not specified,269,XC139577.mp3,Not specified,Alder Flycatcher,Not specified,XC139577 Alder Flycatcher (Empidonax alnorum),"['Geothlypis trichas_Common Yellowthroat', 'Corvus brachyrhynchos_American Crow', 'Melospiza melodia_Song Sparrow', 'Gavia immer_Common Loon']",yes,Empidonax alnorum," Big Bay State Park, Ashland, Wisconsin",46.8107,48000 (Hz),song,190 m,"Singing from alder thicket at the edge of lagoon.

Foggy and cool.  Recorded with homemade parabolic reflector and Olympus LS-10S.",192000 (bps),mp3,Not specified,Common Yellowthroat (Geothlypis trichas); American Crow (Corvus brachyrhynchos); Song Sparrow (Melospiza melodia); Common Loon (Gavia immer),139577,https://www.xeno-canto.org/139577,United States,Jonathon Jongsma,Empidonax alnorum_Alder Flycatcher,-90.6776,Not specified,06:57,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0
3.5,no,aldfly,1 (mono),2013-07-19,Not specified,136,XC154310.mp3,Not specified,Alder Flycatcher,Not specified,XC154310 Alder Flycatcher (Empidonax alnorum),"['Hirundo rustica_Barn Swallow', 'Agelaius phoeniceus_Red-winged Blackbird', 'Pooecetes gramineus_Vesper Sparrow', 'Empidonax minimus_Least Flycatcher', 'Tyrannus tyrannus_Eastern Kingbird', 'Spizella pallida_Clay-colored Sparrow']",yes,Empidonax alnorum," 3 km south of Fishing Lake, Saskatchewan",51.7772,48000 (Hz),call,550 m,,128000 (bps),mp3,Not specified,Barn Swallow (Hirundo rustica); American Yellow Warbler (Setophaga aestiva); Red-winged Blackbird (Agelaius phoeniceus); Vesper Sparrow (Pooecetes gramineus); Least Flycatcher (Empidonax minimus); Eastern Kingbird (Tyrannus tyrannus); Clay-colored Sparrow (Spizella pallida),154310,https://www.xeno-canto.org/154310,Canada,Ian Cruickshank,Empidonax alnorum_Alder Flycatcher,-103.5795,Not specified,14:00,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
3.5,,aldfly,1 (mono),2007-05-20,increasing,23,XC16967.mp3,level,Alder Flycatcher,1-3,XC16967 Alder Flycatcher (Empidonax alnorum),"['Branta canadensis_Canada Goose', 'Geothlypis philadelphia_Mourning Warbler']",,Empidonax alnorum," Michigan, Port Huron SGA",43.0501,44100 (Hz),Song,210 m,,116617 (bps),mp3,increasing,Canada Goose (Branta canadensis); American Yellow Warbler (Setophaga aestiva); Mourning Warbler (Geothlypis philadelphia),16967,https://www.xeno-canto.org/16967,United States,Allen T. Chartier,Empidonax alnorum_Alder Flycatcher,-82.5928,0-3(s),?,Allen T. Chartier,Creative Commons Attribution-NonCommercial-ShareAlike 3.0
4.5,no,aldfly,1 (mono),2014-06-13,level,127,XC188377.mp3,accelerating,Alder Flycatcher,1-3,XC188377 Alder Flycatcher (Empidonax alnorum),"['Agelaius phoeniceus_Red-winged Blackbird', 'Geothlypis trichas_Common Yellowthroat', 'Pica hudsonia_Black-billed Magpie', ""Catharus ustulatus_Swainson's Thrush"", 'Corvus brachyrhynchos_American Crow', 'Parkesia noveboracensis_Northern Waterthrush', 'Cyanocitta cristata_Blue Jay', ""Melospiza lincolnii_Lincoln's Sparrow""]",yes,Empidonax alnorum," Maxwell Lake, Hinton, Alberta",53.3866,44100 (Hz),song,1100 m,second half of the recording is the better half,128000 (bps),mp3,both,Red-winged Blackbird (Agelaius phoeniceus); Common Yellowthroat (Geothlypis trichas); Black-billed Magpie (Pica hudsonia); Swainson's Thrush (Catharus ustulatus); American Crow (Corvus brachyrhynchos); Northern Waterthrush (Parkesia noveboracensis); Blue Jay (Cyanocitta cristata); Lincoln's Sparrow (Melospiza lincolnii),188377,https://www.xeno-canto.org/188377,Canada,Richard E. Webster,Empidonax alnorum_Alder Flycatcher,-117.5883,0-3(s),07:55,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.5,no,aldfly,1 (mono),2014-06-14,level,41,XC188434.mp3,level,Alder Flycatcher,1-3,XC188434 Alder Flycatcher (Empidonax alnorum),"[""Melospiza lincolnii_Lincoln's Sparrow"", 'Corvus brachyrhynchos_American Crow', 'Empidonax alnorum_Alder Flycatcher', ""Catharus ustulatus_Swainson's Thrush""]",yes,Empidonax alnorum," Swan Lake Provincial Park, British Columbia",55.5267,44100 (Hz),song,750 m,2nd recording of this individual;,128000 (bps),mp3,both,American Yellow Warbler (Setophaga aestiva); Lincoln's Sparrow (Melospiza lincolnii); American Crow (Corvus brachyrhynchos); Alder Flycatcher (Empidonax alnorum); Swainson's Thrush (Catharus ustulatus),188434,https://www.xeno-canto.org/188434,Canada,Richard E. Webster,Empidonax alnorum_Alder Flycatcher,-120.0314,0-3(s),04:52,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.5,no,aldfly,1 (mono),2014-06-15,both,21,XC189042.mp3,level,Alder Flycatcher,1-3,XC189042 Alder Flycatcher (Empidonax alnorum),"[""Catharus ustulatus_Swainson's Thrush"", 'Vireo olivaceus_Red-eyed Vireo', 'Leiothlypis peregrina_Tennessee Warbler', 'Vireo gilvus_Warbling Vireo']",no,Empidonax alnorum," Luyben Mainline Access Road, Liard Highway, British Columbia",59.0988,44100 (Hz),song,500 m,"seems extra ""burry""",128000 (bps),mp3,both,Swainson's Thrush (Catharus ustulatus); Red-eyed Vireo (Vireo olivaceus); Tennessee Warbler (Leiothlypis peregrina); Warbling Vireo (Vireo gilvus),189042,https://www.xeno-canto.org/189042,Canada,Richard E. Webster,Empidonax alnorum_Alder Flycatcher,-123.4621,0-3(s),18:29,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.5,no,aldfly,1 (mono),2014-06-16,level,60,XC189263.mp3,level,Alder Flycatcher,1-3,XC189263 Alder Flycatcher (Empidonax alnorum),"['Leiothlypis peregrina_Tennessee Warbler', ""Catharus ustulatus_Swainson's Thrush"", 'Regulus calendula_Ruby-crowned Kinglet']",yes,Empidonax alnorum," Luyben Mainline Access Road, Liard Highway, British Columbia",59.0988,44100 (Hz),call,500 m,Individual No 2 recorded on this road (call);,128000 (bps),mp3,level,Tennessee Warbler (Leiothlypis peregrina); Swainson's Thrush (Catharus ustulatus); Ruby-crowned Kinglet (Regulus calendula),189263,https://www.xeno-canto.org/189263,Canada,Richard E. Webster,Empidonax alnorum_Alder Flycatcher,-123.4621,0-3(s),05:49,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.5,no,aldfly,1 (mono),2014-06-16,level,141,XC189265.mp3,level,Alder Flycatcher,1-3,XC189265 Alder Flycatcher (Empidonax alnorum),"[""Catharus ustulatus_Swainson's Thrush"", 'Regulus calendula_Ruby-crowned Kinglet', 'Leiothlypis peregrina_Tennessee Warbler', 'Zonotrichia albicollis_White-throated Sparrow', 'Setophaga magnolia_Magnolia Warbler']",yes,Empidonax alnorum," Luyben Mainline Access Road, Liard Highway, British Columbia",59.0988,44100 (Hz),"call, song",600 m,"Individual No 5 recorded on this road (call), 2nd recording of this individual; the ""elaenia-like"" song phrase and regular calls from the pair that was mostly next to the prior recording pair and interacting with it;
interval shortened at 1:45",128000 (bps),mp3,level,Swainson's Thrush (Catharus ustulatus); Ruby-crowned Kinglet (Regulus calendula); Tennessee Warbler (Leiothlypis peregrina); White-throated Sparrow (Zonotrichia albicollis); Magnolia Warbler (Setophaga magnolia),189265,https://www.xeno-canto.org/189265,Canada,Richard E. Webster,Empidonax alnorum_Alder Flycatcher,-123.4621,0-3(s),06:55,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
3.5,no,aldfly,1 (mono),2014-06-16,level,59,XC189267.mp3,level,Alder Flycatcher,1-3,XC189267 Alder Flycatcher (Empidonax alnorum),"['Setophaga magnolia_Magnolia Warbler', 'Leiothlypis peregrina_Tennessee Warbler', 'Zonotrichia albicollis_White-throated Sparrow', ""Catharus ustulatus_Swainson's Thrush"", ""Melospiza lincolnii_Lincoln's Sparrow""]",yes,Empidonax alnorum," Luyben Mainline Access Road, Liard Highway, British Columbia",59.0988,44100 (Hz),call,600 m,Individuals Nos 4 and 5 recorded on this road (call);,128000 (bps),mp3,level,Magnolia Warbler (Setophaga magnolia); Tennessee Warbler (Leiothlypis peregrina); White-throated Sparrow (Zonotrichia albicollis); Swainson's Thrush (Catharus ustulatus); Lincoln's Sparrow (Melospiza lincolnii),189267,https://www.xeno-canto.org/189267,Canada,Richard E. Webster,Empidonax alnorum_Alder Flycatcher,-123.4621,0-3(s),05:59,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
4.5,no,aldfly,1 (mono),2014-06-22,both,75,XC193116.mp3,level,Alder Flycatcher,1-3,XC193116 Alder Flycatcher (Empidonax alnorum),"['Corvus brachyrhynchos_American Crow', 'Setophaga ruticilla_American Redstart', ""Catharus ustulatus_Swainson's Thrush"", 'Melospiza melodia_Song Sparrow']",yes,Empidonax alnorum," Tyhee Lake Provincial Park, near Telkwa, British Columbia",54.7089,44100 (Hz),"call, song",500 m,"calls from one bird, song phrases from another",128000 (bps),mp3,level,American Crow (Corvus brachyrhynchos); American Redstart (Setophaga ruticilla); Swainson's Thrush (Catharus ustulatus); Song Sparrow (Melospiza melodia); American Yellow Warbler (Setophaga aestiva),193116,https://www.xeno-canto.org/193116,Canada,Richard E. Webster,Empidonax alnorum_Alder Flycatcher,-127.0394,0-3(s),05:49,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0
